,"[2951, 51, 21, 15, 5, 17, 31, 274, 2, 2, 7, 55, 5, 25]_[('traj_id', <DataTypes.REAL_VALUED: 0>, <InputTypes.ID: 4>), ('date', <DataTypes.DATE: 2>, <InputTypes.TIME: 5>), ('log_sales', <DataTypes.REAL_VALUED: 0>, <InputTypes.TARGET: 0>), ('transactions', <DataTypes.REAL_VALUED: 0>, <InputTypes.OBSERVED_INPUT: 1>), ('oil', <DataTypes.REAL_VALUED: 0>, <InputTypes.OBSERVED_INPUT: 1>), ('day_of_month', <DataTypes.REAL_VALUED: 0>, <InputTypes.KNOWN_INPUT: 2>), ('month', <DataTypes.REAL_VALUED: 0>, <InputTypes.KNOWN_INPUT: 2>), ('open', <DataTypes.REAL_VALUED: 0>, <InputTypes.KNOWN_INPUT: 2>), ('item_nbr', <DataTypes.CATEGORICAL: 1>, <InputTypes.STATIC_INPUT: 3>), ('store_nbr', <DataTypes.CATEGORICAL: 1>, <InputTypes.STATIC_INPUT: 3>), ('city', <DataTypes.CATEGORICAL: 1>, <InputTypes.STATIC_INPUT: 3>), ('state', <DataTypes.CATEGORICAL: 1>, <InputTypes.STATIC_INPUT: 3>), ('type', <DataTypes.CATEGORICAL: 1>, <InputTypes.STATIC_INPUT: 3>), ('cluster', <DataTypes.CATEGORICAL: 1>, <InputTypes.STATIC_INPUT: 3>), ('family', <DataTypes.CATEGORICAL: 1>, <InputTypes.STATIC_INPUT: 3>), ('class', <DataTypes.CATEGORICAL: 1>, <InputTypes.STATIC_INPUT: 3>), ('perishable', <DataTypes.CATEGORICAL: 1>, <InputTypes.STATIC_INPUT: 3>), ('onpromotion', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('day_of_week', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('national_hol', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('regional_hol', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>), ('local_hol', <DataTypes.CATEGORICAL: 1>, <InputTypes.KNOWN_INPUT: 2>)]_0.1_5_5_[0]_20_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]_[3, 4, 5]_0.001_100.0_128_/home/featurize/work/tft_outputs/saved_models/favorita/fixed_5_90_1_4_1_1_[6, 7, 8, 9, 10, 11, 12, 13, 14]_120"
loss,1.344218134880066
info,
